Companies,URL,Description,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
Waters & David Co,watersanddavid.com,"Waters & David Co is a manufacturer's representative firm focused on marine and industrial markets. The company works in aftermarket, OEM, and retail sales for recreational and commercial marine, electric utility, oil and gas, and towables. Waters & David Co serves the Gulf South states, providing sales services to manufacturers and engaging with key decision makers in various sectors. It was founded in 1981 and is based in New Orleans, Louisiana.",Other Transportation,,,,,United States,,,,,,,0%,Alive / Active,1981,,
Cimco-GC Systems,cimco-gcsystems.com,"Cimco-GC Systems functions as an independent manufacturer representative in the waterworks and irrigation sector. The company provides control valve services that include emergency troubleshooting and maintenance schedule management for water systems. Cimco-GC Systems maintains local inventory support and provides Cla-Val service in the Pacific Northwest. It was founded in 2020 and is based in Puyallup, Washington.",,,,,,United States,,,,,,,33.33%,Alive / Active,2020,,
RAM Independent,ramindependent.com,"RAM Independent is a manufacturer's representative firm specializing in exterior building envelope solutions within the construction industry. The company provides systems designed to prevent water and moisture intrusion in buildings, from below grade to the roof. RAM Independent works with design professionals to develop solutions that protect structures from water damage, which can lead to mold and corrosion. It was founded in 2019 and is based in Concord, California.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,2019,,
PSI Technologies,psi-techinc.com,"PSI Technologies Inc is a representative and distribution firm specializing in the application and integration of water and wastewater equipment within the environmental services sector. The company provides products and services for water and wastewater management. PSI Technologies Inc serves the water and wastewater markets. It was founded in 2018 and is based in West Palm Beach, Florida.",,,,,,United States,,,,,,,65.22%,Alive / Active,2018,,
C. Emery Nelson,cemerynelson.com,"C. Emery Nelson is a Manufacturer's Representative and Distributor focused on air and gas applications. The company provides products like positive displacement lobe blowers, vacuum pumps, filtration systems, and heat exchangers, along with services that include system design, troubleshooting, and optimization. C. Emery Nelson serves sectors including wastewater treatment, dairy, chemical processing, and power generation. It was founded in 1922 and is based in Hamel, Minnesota.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1922,,
Friedrich Ebner,friedrich-ebner.at,"Friedrich Ebner is a wholesaler specializing in connection technology and plastic technology within the civil engineering sector. The company offers products including ROMOLD wastewater management systems, PLASSON joining technology, and welding machines from providers like FUSION, WIDOS, and Hürner for PE pipeline construction. Friedrich Ebner GmbH has a technical department, marketing department, and outside sales representatives, which allows for consulting and processing. It is based in Salzburg, Austria.",Appliances,,,,,Austria,,,,,,,0%,Alive / Active,,,
Waters Development Management,watersdevelopment.ca,"Waters Development Management provides real estate development and construction management consulting services across various sectors. The company offers services such as feasibility studies, site due diligence, capital budget development, development scheduling, and permit management. Additionally, the company acts as an owner's representative during construction, providing budget and schedule development, drawing reviews, site inspection reports, and quality control. Waters Development Management serves the luxury and multi-family residential, commercial, and mixed-use development sectors. It was founded in 2020 and is based in Squamish, British Columbia.",Real Estate,,,,,Canada,,,,,,,100%,Alive / Active,2020,,
Glacier Distilling Company,glacierdistilling.com,"Glacier Distilling Company is a craft distillery that produces small-batch whiskeys within the spirits industry. The company offers spirits using local grains and glacial water, creating products representative of the Northern Rockies. Glacier Distilling caters to the alcohol beverage market, focusing on whiskey enthusiasts. It is based in Coram, Montana.",,,,,,United States,,,,,,,-16.67%,Alive / Active,,,
Desert Pacific Sales,desertpacificsales.com,"Desert Pacific Sales is a manufacturer's representative agency for water system products across various sectors. They provide products and services for the water well, light industrial, municipal, commercial, agriculture, irrigation, plumbing, and waterworks industries. The company serves wholesale distributors, contractors, municipalities, utility companies, and engineers, offering expertise and solutions for water and wastewater system projects. It was founded in 2017 and is based in Clovis, California.",Construction,,,,,United States,,,,,,,0%,Alive / Active,2017,,
La Nuova Energia,lanuova-energia.com,"La Nuova Energia operates in the oil and gas sector, focusing on both upstream and downstream business. The company offers services as sales representatives for technology equipment and solutions, including turbo-machinery and water technologies. La Nuova Energia serves the oil and gas industry, providing products to multinational companies. It is based in Egypt.",,,,,,Egypt,,,,,,,50%,Alive / Active,,,
Concept Sales,concept-sales.net,"Concept Sales is a manufacturer’s representative in the electrical industry, providing services across residential, commercial, and industrial sectors. The company offers electrical products and solutions, including those for data centers, food and beverage, solar energy, and wastewater treatment applications. It was founded in 2009 and is based in Avon, Ohio.",Appliances,,,,,United States,,,,,,,0%,Alive / Active,2009,,
L-DEMA,ldema.me,"L-DEMA provides water filtration systems for domestic and professional use. The company offers a range of water filters, including jugs and cartridges, for everyday consumption and applications in the HORECA industry. L-DEMA is the representative of BRITA GmbH products in Montenegro, serving households and professional kitchens. It was founded in 2015 and is based in Podgorica, Montenegro.",,,,,,Montenegro,,,,,,,0%,Alive / Active,2015,,
"Sanlėja, UAB",sanleja.lt,"Sanlėja, UAB is involved in heating and ventilation systems within the climate control equipment industry. The company offers products including air conditioning units, air-to-water and air-to-air heat pumps, and ventilation systems with dehumidifiers, air purifiers, and heat recovery units. Sanlėja is a regional representative for brands like Cooper&Hunter, Airwell, and HTW. It is based in Vilnius, Lithuania.",Wholesale,,,,,Lithuania,,,,,,,0%,Alive / Active,,,
Hydrotec Hungary,hydrotec.hu,"Hydrotec Hungary distributes drainage channel systems and manhole covers as the representative of Hydrotec Technologies AG in Hungary. The company offers circular and square manhole covers, drainage grates, and cleaning covers, designed to manage water flow and provide access to underground utilities. Hydrotec Hungary's products comply with international standards and cater to various sectors that require water drainage and management. It is based in Nagytarcsa, Hungary.",Wholesale,,,,,Hungary,,,,,,,0%,Alive / Active,,,
Mattoon & Lee Equipment,mattoon-lee.com,"Mattoon & Lee Equipment is a manufacturers' representative in the chemical, pharmaceutical, food, beverage, and general industrial markets. The company provides products including mixers, pumps, heat exchangers, tanks, and material handling solutions. These products are utilized in applications such as food and beverage processing, pharmaceutical manufacturing, chemical processing, and water and waste treatment facilities. It was founded in 1974 and is based in Farmington, Michigan.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1974,,
ARV Ambiental,arvambiental.com,"ARV Ambiental provides environmental consulting and sampling services within the industrial and private sectors. The company offers services such as environmental studies, licensing, compliance, and the collection of water and effluents, using defined methodologies for representative sampling for environmental monitoring and diagnostics. The company serves the industrial and private sectors while ensuring compliance with environmental legislation. It was founded in 2017 and is based in Curitiba, Brazil.",,,,,,Brazil,,,,,,,0%,Alive / Active,2017,,
Vand Solutions,vandsolutions.com,"Vand Solutions is a manufacturer's representative firm that focuses on water and wastewater treatment solutions within the engineering and municipal sectors. The company provides design and engineering services to assist in the selection and implementation of water and wastewater systems. Vand Solutions serves engineers and municipalities, addressing challenges related to aging water infrastructure and the water crisis. It was founded in 2016 and is based in Morrisville, North Carolina.",,,,,,United States,,,,,,,0%,Alive / Active,2016,,
Integrity Pipeline Product,integritypipeline.ca,"Integrity Pipeline Products is a manufacturers' representative and master distributor company that operates in the water and wastewater industry. They represent companies and distribute products in Ontario and eastern Canada. As a master distributor, they supply products sourced from North America to the waterworks industry across Canada. It was founded in 2011 and is based in Cambridge, Ontario.",Construction,,,,,Canada,,,,,,,0%,Alive / Active,2011,,
Watershed Partners,watershedpartners.com,"Watershed Partners provides project management and owner's representative services across several sectors. The company offers services including pre-construction consulting, construction management, occupancy planning, and project closeout, designed to meet client needs. Watershed Partners serves sectors such as retail, residential, corporate interiors, hospitality, institutions, fitness and health, and restaurants. It was founded in 1997 and is based in Minneapolis, Minnesota.",Consulting & Outsourcing,,,,,United States,,,,,,,15%,Alive / Active,1997,,
Allied Systems,asidsm.com,"Allied Systems is a manufacturers representative and distributor in the plumbing wholesale and waste water management sectors. The company provides plumbing, pumping, and process equipment, as well as maintenance and repair services for various brands and types of pumps, controls, and rotating equipment. Allied Systems serves plumbing distributors, contractors, municipalities, and engineers in mechanical and civil fields. It was founded in 1986 and is based in Des Moines, Iowa.",,,,,,United States,,,,,,,0%,Alive / Active,1986,,
LAI,lai-ltd.com,"LAI is a manufacturers' representative firm focused on the Water, Wastewater, and Stormwater Markets. The company offers services related to the representation and sale of products in these sectors. LAI primarily serves the Water, Wastewater, and Stormwater Markets in Northern Illinois, Northwestern Indiana, and Wisconsin. It was founded in 1958 and is based in Rolling Meadows, Illinois.",,,,,,United States,,,,,,,5.88%,Alive / Active,1958,,
Eno Industrial Sales,eno-industrial.com,"Eno Industrial Sales is a manufacturers' representative agency that deals with power transmission and industrial supply products across various sectors. The company provides products for the bearing, power transmission, and motion control industries, serving both OEM and distribution markets. Eno Industrial Sales operates in sectors including packaging, waste water, conveying, food processing, paper, forest products, and chemical processing. It was founded in 2000 and is based in Cazenovia, New York.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,2000,,
The Socha Company,sochacompany.com,"The Socha Company is a manufacturers representative for parts related to hydronic and domestic water heating within the engineering sector. The company supplies products such as steel flexible tube boilers and visual inspection systems, serving mechanical contractors, engineering firms, and wholesale distributors. The Socha Company provides technical marketing services and sales support to assist in product application. It was founded in 1954 and is based in Albuquerque, New Mexico.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1954,,
B.L. Anderson,blanderson.com,"B.L. Anderson is a manufacturer's representative firm that operates within the fluid process markets of the water and wastewater treatment industry. The company provides product requests, system design, and delivery of valves, chemicals, and instruments. B.L. Anderson serves the water and wastewater treatment sectors. It was founded in 1961 and is based in Lafayette, Indiana.",,,,,,United States,,,,,,,19.05%,Alive / Active,1961,,
Trumbull Manufacturing,trumbull-mfg.com,"Trumbull Manufacturing provides products for the Municipal and Industrial markets, focusing on the Waterworks and Valve Industries. Their offerings include waterworks tools, valve position indicators, joint restraint products, and accessories for water/wastewater treatment plants. The company serves waterworks distributors, valve representatives, and manufacturers. It was founded in 2017 and is based in Youngstown, Ohio.",Wholesale,,,,,United States,,,,,,,22.22%,Alive / Active,2017,,
Johnson Waters Marketing,johnsonwaters.com,"Johnson Waters Marketing is a Manufacturer's Representative firm that operates within the gift, home decor, and accessories industry. The company represents manufacturers to channel retailers and manages relationships with retail accounts in the Midwest. Johnson Waters Marketing works with companies that offer products in the Gift, Housewares, Home Decor, Seasonal Decor, and Garden categories. It was founded in 1985 and is based in Maple Grove, Minnesota.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,1985,,
Canada Company,canadaco.com,"Canada Company is a manufacturer representative and distributor of process control instrumentation for various industrial sectors. The company provides products that include pressure, temperature, and flow measurement instruments, as well as vibration monitoring, flame and gas detection, and tank gauging systems. The sectors served include oil and gas, water and wastewater, food and beverage, and industrial and technology. It was founded in 1947 and is based in Tulsa, Oklahoma.",,,,,,United States,,,,,,,16.67%,Alive / Active,1947,,
Rockacy and Associates,rockacy.com,"Rockacy and Associates is a manufacturers representative agency focused on the water and sewer industries. The company provides products such as air release, vacuum, and combination valves, along with corrosion-resistant tracer wire, cloud-based asset management systems, and pipe repair and connection solutions for water and sewer applications. It was founded in 1985 and is based in Charlottesville, Virginia.",,,,,,United States,,,,,,,0%,Alive / Active,1985,,
"Smart Egg Metering, Lda",smarteggmetering.com,"Smart Egg Metering, Lda focuses on the development and commercialization of metering solutions within the energy and water measurement sectors. The company provides products for energy measurement, water measurement, and charging and battery solutions, aimed at supporting energy management and resource tracking. Smart Egg Metering is the representative of Honeywell electric meters for the autoconsumo market in Portugal, offering solutions for self-consumption production units. It was founded in 2022 and is based in Santa Maria da Feira, Portugal.",,,,,,Portugal,,,,,,,0%,Alive / Active,2022,,
MNX,mnxinc.net,"MNX is a manufacturer's representative firm in the water and wastewater industry. The company provides representation for equipment and online training systems for the operation and maintenance of facilities. MNX serves industries, municipalities, consulting engineers, contractors, and governmental agencies. It was founded in 1983 and is based in Rosemount, Minnesota.",,,,,,United States,,,,,,,33.33%,Alive / Active,1983,,
PCI Controls,pci-controls.com,"PCI Controls is a manufacturer's representative for fluid flow dynamics for liquids and gases across various industries. The company provides valves, actuation and controls, energy management, and water conservation technologies. PCI Controls serves the industrial, commercial, oil and gas, water, and wastewater sectors. It was founded in 2008 and is based in Pittsburgh, Pennsylvania.",Machinery & Equipment,,,,,United States,,,,,,,0%,Alive / Active,2008,,
North Bay Waterworks,nbwh2o.com,"North Bay Waterworks is a Manufacturers' Representative firm focused on the Water and Wastewater industries. The company represents various manufacturers' products, serving wholesale distributors, contractors, engineers, and municipalities. North Bay Waterworks has 50 years of experience in the industry to help clients with their project needs. It was founded in 2015 and is based in Santa Rosa, California.",Construction,,,,,United States,,,,,,,0%,Alive / Active,2015,,
Mellen & Associates,melleninc.com,"Mellen & Associates is a manufacturers representative firm that provides flow control equipment and services for the municipal and industrial water and wastewater treatment sectors. The company serves a variety of industries, including manufacturing, ethanol, food processing, power, and pulp and paper. It was founded in 1962 and is based in Council Bluffs, Iowa.",,,,,,United States,,,,,,,21.43%,Alive / Active,1962,,
PRO-CO,pro-co.com,"PRO-CO, Inc. is a manufacturer’s representative specializing in process control solutions and instrumentation across multiple industrial sectors. The company offers a line of products and engineered solutions, and provides calibration services for gas detection equipment. PRO-CO, Inc. serves sectors including water and waste water, aerospace, power generation, food and beverage, pulp and paper, pharmaceuticals, manufacturing, oil and gas, and chemical industries. It was founded in 1989 and is based in Winter Springs, Florida.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1989,,
M-Cor Marketing,mcormarketing.com,"M-Cor Marketing is a manufacturer representative agency in the Underground Utility Industry, focusing on water and wastewater utility products. The company facilitates the specification and marketing of products from manufacturers to engineers, municipalities, and contractors, using a distribution network to provide products. M-Cor Marketing operates in multiple states, with services influenced by product pricing and availability. It was founded in 2008 and is based in Noblesville, Indiana.","Advertising, Marketing & PR",,,,,United States,,,,,,,0%,Alive / Active,2008,,
Brazil Hydro,brazilhydro.com,"Brazil Hydro is a water resources engineering consultancy focusing on hydraulic modeling and dam safety in the mining, energy, and sanitation sectors. The company provides services such as hydrological and hydraulic studies, dam break analysis, emergency action and dam safety plans, sedimentological studies, water quality assessments, flood risk assessments, urban drainage solutions, GIS geoprocessing, field support services, and training. Brazil Hydro also acts as the commercial representative for RiverFlow2D in Brazil, offering technical support and training. It was founded in 2018 and is based in São Paulo, Brazil.",,,,,,Brazil,,,,,,,0%,Alive / Active,2018,,
Ridley's Plumbing,ridleys.com.au,"Ridley's Plumbing is a service provider specializing in plumbing, earthmoving, and civil works within the construction and maintenance sectors. The company offers services including general plumbing, waste water management, earthworks, pipeline construction, and bathroom renovations. Ridley's Plumbing caters to private landowners, engineers, council representatives, and other contractors. It is based in South Australia, Australia.",Construction,,,,,Australia,,,,,,,0%,Alive / Active,,,
CECA North West,ceca.co.uk/north-west/about-us,"CECA North West is a representative body for civil engineering companies in the infrastructure sector. The organization facilitates projects related to transport systems, energy infrastructure, waste and water networks, and communications, working with government, local authorities, and utilities. CECA North West also emphasizes workforce development and local supply chains. It was founded in 1996 and is based in Warrington, England.",,,,,,United Kingdom,,,,,,,0%,Alive / Active,1996,,
DAVIS CONTROLS,daviscc.com,"DAVIS CONTROLS is a manufacturer representative and distributor that provides valve automation, pressure management, and control valves for the furnace, steel, chemical, utility, HVAC, OEM, and water and waste water industries. It is based in Pittsburgh, Pennsylvania.",Machinery & Equipment,,,,,United States,,,,,,,33.33%,Alive / Active,,,
Liz Jordan-Hill,amazon.com/lizjordan-hill,"Liz Jordan-Hill is involved in the design, manufacturing, and distribution of upholstery and wallcovering fabrics within the textile industry. The company provides fabrics that feature Aquaclean technology, which offers water-wipe cleanability, to the furniture manufacturing sector and buyer representatives. Liz Jordan-Hill serves the furniture industry with fabrics that adhere to contract quality standards. It was founded in 1978 and is based in Highland Park, Illinois.",Manufacturing,Textile Manufacturing,,,,United States,,,,,,,0%,Alive / Active,1978,,
VHF SALES,vhfsales.com,"VHF SALES is a manufacturers representative firm specializing in HVAC and plumbing equipment within the commercial, industrial, and public sector facilities. The company offers a range of products including heat pumps, chillers, air handlers, fan coils, boilers, water heaters, rooftop units, pumps, heat exchangers, kitchen exhaust systems, radiation solutions, HVLS fans, and various accessories, for commercial, high-rise, farming, government, and industrial applications. VHF SALES also provides design tools, plan reviews, load analyses, and support services for HVAC solutions. It was founded in 1994 and is based in Grimes, Iowa.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1994,,
HOUGHTALING ASSOCIATES,haiboiler.com,"Houghtaling Associates is involved in the sales of boiler room equipment within the manufacturing sector. The company provides rental boilers for temporary steam or hot water needs and acts as manufacturers representatives for related products. It is based in Richmond, Virginia.",Construction,,,,,United States,,,,,,,0%,Alive / Active,,,
Trippensee Shaw,trippenseeshaw.com,"Trippensee Shaw is a specialized representative company in the water and wastewater equipment sector, offering a range of products and services including treatment solutions, tanks, media, and specialty services, primarily serving the management sectors. It is based in Eustis, Florida.",,,,,,United States,,,,,,,0%,Alive / Active,,,
Brooks & Associates Manufacturer's Representative,brooksandassociatestn.com,"Brooks & Associates Manufacturer's Representative represents manufacturers within the building products market. The company provides specification assistance, continuing education seminars, field consultation, and product training, focusing on air and water-resistive barriers, waterproofing, and building envelope solutions. Brooks & Associates serves the residential construction sector. It is based in Knoxville, Tennessee.",Construction,,,,,United States,,,,,,,0%,Alive / Active,,,
CARRIG AND ASSOCIATES,carrig-associates.com,"CARRIG AND ASSOCIATES is a manufacturers' representative focused on process control instrumentation and devices. The company provides application engineering, sales, field service, and training, alongside flow, pressure, level, and temperature measurement devices for various process control applications. CARRIG AND ASSOCIATES serves consulting and corporate engineering firms, production facilities, and industries including chemical, steel, rubber, glass, power, water, and wastewater. It is based in Berea, Ohio.",,,,,,United States,,,,,,,200%,Alive / Active,,,
Market.Link Group,marketlinkgroup.com,"Market.Link Group is a manufacturers representative specializing in water intake and flow control systems within the engineering and manufacturing sectors. The company serves original equipment manufacturers, custom manufacturers, and engineers by providing technical expertise. Market.Link Group primarily serves the water management industry with a focus on system integration and project collaboration. It was founded in 2014 and is based in North Vancouver, British Columbia.",Manufacturing,,,,,Canada,,,,,,,0%,Alive / Active,2014,,
CRDN of Central PA & Northern Pittsburgh,balfurd.com/crdn,"CRDN of Central PA & Northern Pittsburgh provides textile and electronic restoration within the disaster recovery sector. The company restores items damaged by fire, water, and other disasters, collaborating with policyholders, insurance representatives, and contractors. CRDN serves homeowners, tenants, and businesses requiring recovery solutions for textiles and electronics. It was founded in 1927 and is based in State College, Pennsylvania.",Manufacturing,Textile Manufacturing,,,,United States,,,,,,,0%,Alive / Active,1927,,
CMHubbard,cmhubbard.com,"CM Hubbard is an employee-owned manufacturer's representative and consulting company that provides water management solutions across various sectors. The company offers services in flood mitigation, stormwater management, wastewater treatment, and drinking water purification, along with sales and marketing consultation for manufacturers. CM Hubbard serves municipalities and companies seeking to expand their brand presence and establish representation networks in North America. It is based in Wakefield, Rhode Island.",Chips & Semiconductors,,,,,United States,,,,,,,0%,Alive / Active,,,
GT Environmental,gtenvironmentalaz.com,"GT Environmental is a business involved in water management solutions within the environmental services sector. The company provides integration services for water and wastewater plants and serves as a Manufacturer's Representative for McCrometer, offering products to its clientele. It was founded in 2011 and is based in Tucson, Arizona.",,,,,,United States,,,,,,,50%,Alive / Active,2011,,
Representaciones FEYMA,straub.mx,"Representaciones FEYMA is a representative of STRAUB Werke AG, focusing on the provision of pipe couplings within the industrial sector. The company offers solutions for connecting systems made of various materials and provides support for connection solutions. STRAUB's products are utilized in a range of applications including water supply, renewable energy fields, gas, industrial applications, mining, naval construction, and offshore. It was founded in 2006 and is based in Cuernavaca, Mexico.",,,,,,Mexico,,,,,,,200%,Alive / Active,2006,,
J.K. Neuhauser Sales Co,jknsales.com,"J.K. Neuhauser Sales Co is a manufacturer representative agency with a focus on the HVAC/R industry. The company offers representation services for various products, including air-to-water heat pumps and electrical timers. It was founded in 1956 and is based in United States.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,1956,,
Flow Sales,flowsales.com,"Flow Sales is a manufacturers' representative specializing in the plumbing, hot water heating, and HVAC sectors. The company offers a range of products including plumbing accessories, hot water heating specialties, and HVAC products, all stocked locally for quick access. Flow Sales serves the plumbing, hot water heating, and HVAC industries. It was founded in 2022 and is based in Etobicoke, Ontario.",Manufacturing,Industrial Machinery & Equipment Distribution,,,,Canada,,,,,,,0%,Alive / Active,2022,,
SMART PROCESS SARL,sprocess.net,"SMART PROCESS SARL is the representative of ENDRESS HAUSER in Algeria, focusing on the measurement instrument sector. The company provides recommendations and definitions of measurement instruments for sectors including Oil & Gas, Agrofood, Pharma, and Water & Wastewater, along with commissioning, calibration, and maintenance services, as well as training on ENDRESS HAUSER products. It is based in Algeria.",Manufacturing,,,,,Algeria,,,,,,,0%,Alive / Active,,,
Tom Evans Environmental,tomevans.com,"Tom Evans Environmental is a manufacturer's representative for environmental and wastewater equipment. The company provides products including pumps, valves, filters, and UV equipment, along with design, selection, and application support for municipal utilities, consulting engineers, and contractors. Tom Evans Environmental serves the water and wastewater industry with product design, installation, and service. It was founded in 1997 and is based in Lakeland, Florida.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1997,,
Inland Sales Group,inlandsalesgroup.com,"Inland Sales Group is a manufacturers representative firm in the plumbing industry. The company provides products and services related to commercial, industrial, and residential plumbing and water delivery solutions, including filtration and prevention of Legionella bacteria in water systems. Inland Sales Group serves the plumbing industry and offers support for building plans and customer projects. It was founded in 2002 and is based in Peoria, Illinois.",Wholesale,,,,,United States,,,,,,,-7.14%,Alive / Active,2002,,
Kinetics Un,bekinetic.com,"Kinetics Unlimited is a manufacturers representative that provides equipment and services to the industrial marketplace. The company offers products such as boilers, fans, cooling towers, water treatment systems, and heat exchangers, and serves various industrial sectors. It is based in Brattleboro, Vermont.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,,,
Val Temp Sales,valtempsales.com,"Val Temp Sales is a representative company focused on water resource management and mechanical sector services within the commercial plumbing and HVAC industries. The company provides products including access doors, drains, fixtures, and evaporative coolers, along with services related to water control, conservation, efficiency, and safety. Val Temp Sales serves the commercial, industrial, and institutional construction and retrofit sectors. It is based in St. Albert, Alberta.",Construction,,,,,Canada,,,,,,,0%,Alive / Active,,,
SAI Global Equipment Sales,globalboilers.com,"SAI Global Equipment Sales Inc. is a manufacturers' representative firm specializing in the sales of boilers, burners, and ancillary industrial equipment. The company offers solutions for steam and hot water systems, focusing on efficiency and performance. SAI Global Equipment Sales primarily serves sectors such as manufacturing, agriculture, healthcare, government, education, hospitality, and the chemical industries. It was founded in 1994 and is based in Anaheim, California.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1994,,
CS4CA,cs4ca.com,"CS4CA is a company that specializes in cybersecurity for critical assets within the IT and OT security sectors. It organizes a series of summits that bring together IT security and business leaders to discuss policy implications and assess threats in various regions. The company serves sectors including Oil & Gas, Energy, Renewables, Chemical, Utilities, Mining, Water, Power, and Maritime, as well as academia and government representatives. It was founded in 2012 and is based in London, England.",,,,,,United Kingdom,,,,,,,0%,Alive / Active,2012,,
ATS EKUIP,atsequip.com,"ATS EKUIP is a manufacturer's representative agency focused on the power generation, steel production, and petrochemical industries. The company provides products and services including material handling, pollution control, combustion, air movement, and valve systems. ATS EKUIP serves sectors such as refineries, cement/lime, aggregates, and wastewater management. It is based in Bay Village, Ohio.",,,,,,United States,,,,,,,0%,Alive / Active,,,
Thomas Industrial Sales,thomasindustrial.ca,"Thomas Industrial Sales is a manufacturers representative with a focus on the HVAC, pumping, and hydronics markets. The company offers a range of products including condensate neutralizers, neutralizing pumps, recharge kits, and system feeders designed to manage waste water and protect infrastructure from acidic condensate produced by heating systems. Thomas Industrial Sales primarily serves the HVAC and waste management sectors within the residential and commercial markets. It was founded in 1968 and is based in Fredericton, New Brunswick.",Wholesale,,,,,Canada,,,,,,,100%,Alive / Active,1968,,
Galgo,galgo.co.uk,"Galgo is the representative for CHEMetrics, specializing in water analysis systems within the environmental monitoring sector. The company offers products including visual test kits, photometric test systems, and dedicated photometers, for water quality testing for various parameters. Galgo serves sectors that require water analysis, such as power plants, oil and gas industries, and environmental testing organizations. It was founded in 1980 and is based in Berkhamsted, England.",Basic Materials,,,,,United Kingdom,,,,,,,0%,Alive / Active,1980,,
A & E ASSOCIATION,aandeassociates.com,"A & E ASSOCIATION provides manufacturer's representative services within the water, waste water, and storm water sectors. The company facilitates the sale and distribution of products in these industries and represents manufacturers. A & E ASSOCIATION serves the water management and environmental sectors. It was founded in 1998 and is based in Aurora, Illinois.",Real Estate,,,,,United States,,,,,,,0%,Alive / Active,1998,,
Dr. Aquatic Pools,draquaticpools.com,"Dr. Aquatic Pools provides residential pool and spa cleaning and maintenance services within the pool and spa service industry. The company offers services including water chemistry regulation, chemical sanitation, surface cleaning, filter backwashing, and equipment assessments. Dr. Aquatic Pools also collaborates with local Mosquito Authority representatives for pest control services. It was founded in 2015 and is based in Frisco, Texas.",,,,,,United States,,,,,,,0%,Alive / Active,2015,,
Nuevo Regadío Forum,iagua.es/nuevo-regadio-forum-2024,"Nuevo Regadío Forum is an event focused on agricultural irrigation practices and innovations within the water management sector. The forum serves as a platform for discussing trends, digitalization, and sustainability in irrigation, with an overview of water usage in agriculture. It includes public administration representatives, irrigation communities, and professionals from the agricultural sector, facilitating discussions on irrigation practices. It is based in Madrid, Spain.",Agricultural Products & Related Activities,,,,,Spain,,,,,,,0%,Alive / Active,,,
Rottiers Sales Associates,rottiers-sales.com,"Rottiers Sales Associates is a Manufacturers' Representative Agency with a focus on HVAC and HEARTH distribution. The company provides heating and cooling systems, venting solutions, air filtration, indoor air quality products, components for fireplaces, chilled water AC systems, thermostats, remote controls for fireplaces, and test instruments. It was founded in 1978 and is based in Sacramento, California.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1978,,
F.R. Mahony,frmahony.com,"F.R. Mahony is a manufacturer representative/distributor in water & wastewater markets in New England.

On October 29, 2020, F.R. Mahony was acquired by Cummins-Wagner Co. The terms of the transaction were not disclosed.",Water,Water Distribution,,,,United States,,Cummins-Wagner,,,,,0%,Acquired,1964,,
Hydro Controls,hydrocontrols.net,"Hydro Controls is a manufacturers' representative group in the municipal and industrial wastewater and water treatment industries. The company supplies valves, actuators, and related equipment, and provides support in equipment selection, applications, installation, and start-up supervision. It was founded in 1994 and is based in Milford, Ohio.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,1994,,
EMS Manufacturers Representatives,emsmfgreps.com,"EMS Manufacturers Representatives is a manufacturers representative serving the Electrical, Safety, and Power Electronics Industry. They provide sales, technical support, and market exposure for manufacturers in the New England region. The company serves sectors including transportation, automation, wastewater, biopharmaceutical, energy, government, military, new construction, OEM, power distribution, utility, system integration, process instrumentation, food & beverage, packaging, and commercial. It was founded in 1976 and is based in Wallingford, Connecticut.",Machinery & Equipment,,,,,United States,,,,,,,0%,Alive / Active,1976,,
The Shane Agency,theshaneagency.com,"The Shane Agency is a manufacturer's representative that focuses on product distribution across sectors including marine, RV and camping, and hardware sundry industries. The company offers products such as roller furling systems, lithium battery solutions, insect bite control, marine products, water makers, and repair patches. They serve wholesale and retail re-sellers within the maritime, recreational vehicle, camping, and hardware sectors. It was founded in 2022 and is based in Bel Air, Maryland.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,2022,,
HANSON SYSTEMS ASSOCIATES,aahansonassoc.com,"HANSON SYSTEMS ASSOCIATES is a manufacturer's representative company focused on providing products and services to the power and process industries. The company offers a range of products including level gauges, steam and water indicators, flame scanners, and heat exchanger tube testing equipment, as well as services such as heat exchanger repair and installation of traveling water screens. The company primarily serves sectors that require power generation and process management solutions. It is based in United Kingdom.",Internet Software & Services,,,,,United Kingdom,,,,,,,0%,Alive / Active,,,
